"","screen_name","user_id","created_at","status_id","text","retweet_count","favorite_count","is_quote_status","quote_status_id","is_retweet","retweet_status_id","in_reply_to_status_status_id","in_reply_to_status_user_id","in_reply_to_status_screen_name","lang","source","media_id","media_url","media_url_expanded","urls","urls_display","urls_expanded","mentions_screen_name","mentions_user_id","symbols","hashtags","coordinates","place_id","place_type","place_name","place_full_name","country_code","country","bounding_box_coordinates","bounding_box_type"
"96","albertocairo","34255829",2017-12-13 02:56:10,"940777336370233345","“The Needle is our master.  The Needle chooses who will go and who will stay” https://t.co/WmtOHNnkSr #NYTneedle https://t.co/QJqYZ2mBk1",10,23,TRUE,"940776290713403392",FALSE,NA,NA,NA,NA,"en","Twitter Web Client",NA,NA,NA,NA,"youtube.com/watch?v=W9t5Zq… twitter.com/jcukier/status…","https://www.youtube.com/watch?v=W9t5ZqeHcYk https://twitter.com/jcukier/status/940776290713403392",NA,NA,NA,"NYTneedle",NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","tylerDPT","39336429",2017-12-13 02:55:44,"940777226865463297","The #NYTNeedle is giving me some terrible flashbacks right about now https://t.co/NzvvRGoK8c",1,2,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter for iPhone","940777209664606209","http://pbs.twimg.com/tweet_video_thumb/DQ5P40LXkAEUbBR.jpg","https://twitter.com/tylerDPT/status/940777226865463297/photo/1",NA,NA,NA,NA,NA,NA,"NYTNeedle",NA,"6565298bcadb82a1","city","Knoxville","Knoxville, TN","US","United States","-84.19397 -83.733713 -83.733713 -84.19397 35.831436 35.831436 36.133505 36.133505","Polygon"
"98","warrenmich1","33468770",2017-12-13 02:54:36,"940776942709510146","Watching the #NYTNeedle closely in the #ALSen election - #AlabamaSenateElection #Alabama #AlabamaSenateRace",0,3,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter Web Client",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NYTNeedle ALSen AlabamaSenateElection Alabama AlabamaSenateRace",NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","spanishbrendan","18005476",2017-12-13 02:54:34,"940776933880680448","See me, feel me, touch me, needle me...#NYTNeedle",1,4,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter Web Client",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NYTNeedle",NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","vlsdo","950052596",2017-12-13 02:53:44,"940776723150499840","The #NYTNeedle is infuriating, because I really want to believe it, but I also have no idea how they extrapolated f… https://t.co/MK0sMbDEJy",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter Web Client",NA,NA,NA,NA,"twitter.com/i/web/status/9…","https://twitter.com/i/web/status/940776723150499840",NA,NA,NA,"NYTNeedle",NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","vlsdo","950052596",2017-12-13 02:53:44,"940776723150499840","The #NYTNeedle is infuriating, because I really want to believe it, but I also have no idea how they extrapolated f… https://t.co/MK0sMbDEJy",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter Web Client",NA,NA,NA,NA,"twitter.com/i/web/status/9…","https://twitter.com/i/web/status/940776723150499840",NA,NA,NA,"NYTNeedle",NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","AlecTang_","632328791",2017-12-13 02:52:49,"940776493155737600","have we finally found the tipping point for the American voter?
i really, really hope so.
#NYTNeedle https://t.co/SFyEmdE7SX",1,3,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter Web Client","940776284900155392","http://pbs.twimg.com/media/DQ5PC_KV4AAEiFB.jpg","https://twitter.com/AlecTang_/status/940776493155737600/photo/1",NA,NA,NA,NA,NA,NA,"NYTNeedle",NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","cooper888","18176304",2017-12-13 02:52:00,"940776288419160064","#NYTNeedle https://t.co/Un0VBfdJJt",0,0,TRUE,"940775951994163202",FALSE,NA,NA,NA,NA,"und","Twitter for Android",NA,NA,NA,NA,"twitter.com/benwikler/stat…","https://twitter.com/benwikler/status/940775951994163202",NA,NA,NA,"NYTNeedle",NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","tylerDPT","39336429",2017-12-13 02:51:51,"940776250758615042","#NYTNeedle is the hashtag of the night",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter Web Client",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NYTNeedle",NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","nataliewickman","49376985",2017-12-13 02:51:11,"940776083795988480","I've never seen an optimist quite like the #NYTneedle",2,5,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter Web Client",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NYTneedle",NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","anotherMikeD","14727792",2017-12-13 02:51:06,"940776061410799616","Clearly the question of the night: is humanity ready for #NYTNeedle ? Does it deserve it? Or must we progress along… https://t.co/dTSYLQdukL",0,1,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter for iPad",NA,NA,NA,NA,"twitter.com/i/web/status/9…","https://twitter.com/i/web/status/940776061410799616",NA,NA,NA,"NYTNeedle",NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","albertocairo","34255829",2017-12-13 02:50:10,"940775824969609216","Is #NYTNeedle trending already?",4,8,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter Web Client",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NYTNeedle",NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","emilybell","1489691",2017-12-13 02:48:37,"940775436728066048","I see the needle and the damage done, a little part of it in everyone, but every pollster’s like a setting sun.....#NYTNeedle",16,70,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter for iPhone",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NYTNeedle",NA,NA,NA,NA,NA,NA,NA,NA,NA
